Time,<1,1-4,5-9,10-14,15-19,20-29,30+
2004-10,0.00015631851346675774,3.829650185860345e-06,2.5597884611137413e-09,4.476879724750406e-11,2.2586051690668668e-12,7.37577411105539e-15,0.0
2004-11,0.00016882319207045526,4.120362473436501e-06,2.7539949934798393e-09,4.8167245410774874e-11,2.4301023304610125e-12,7.935658598191055e-15,0.0
2004-12,0.0003119812224117169,0.0002674235845323558,8.267312109422678e-08,3.0477290346288624e-10,8.974238767981984e-12,8.333695373487898e-13,5.054669112740037e-16
2005-01,0.757783858767791,1.2687861948874724,0.0003786195133324952,1.2765313415213823e-06,3.333567465524063e-08,3.970288988950465e-09,2.024356905521406e-12
2005-02,15.531391193675613,8.034998285703876,0.00312399706595563,1.5540623842834392e-05,5.022072236628669e-07,2.511560377224595e-08,2.936470866948338e-12
2005-03,2.654433867279282,0.16306605015273257,0.00012038719508069087,1.2504054163196542e-06,5.59294410277709e-08,5.081641725221562e-10,1.2430208500956857e-16
2005-04,0.2595235372714999,0.011319258588976533,9.097362030786437e-06,1.0498317252015467e-07,4.93326718914444e-09,3.5258563197068304e-11,3.4728350837426314e-18
2005-05,0.03508852381015615,0.0014520114464289247,1.1753918700672808e-06,1.3705747936057975e-08,6.47227903953464e-10,4.5225704163493395e-12,4.2351647362715017e-19
2005-06,0.0067685733901257095,0.0002748115331741019,2.226041181545074e-07,2.600008340011108e-09,1.228758856199736e-10,8.559321143085944e-13,8.470329472543003e-20
2005-07,0.0018780769209580939,7.541417472722856e-05,6.108288330979213e-08,7.137751265445452e-10,3.3739968009122677e-11,2.3488278158209655e-13,0.0
2005-08,0.0007521001888388668,2.9970037340731892e-05,2.4268151057509416e-08,2.836620361653911e-10,1.3410289047485092e-11,9.33423974565879e-14,0.0
2005-09,0.0004340666671875937,1.719789522458548e-05,1.3930418729895915e-08,1.6280352173828145e-10,7.69616577348466e-12,5.3563950533079014e-14,0.0
