Time,1-4,10-14,15-19,20-29,30+,5-9,<1
2014-10,0.30916258,0.0,0.0,0.0,0.02472696,0.0,0.0
2014-11,0.61832517,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,0.30916258,0.0,0.0,0.0,0.0,0.0,0.0
2015-01,0.0,1.13134202,0.52127057,0.0,0.0,0.0,0.0
2015-02,0.61554124,0.84850651,0.26063528,0.11466296,0.0489881,0.51192058,0.0
2015-03,0.0,0.2828355,0.26063528,0.0,0.02449405,0.0,0.0
2015-04,0.0,0.2828355,0.0,0.22932592,0.0,0.76788087,1.28615543
2015-05,1.23108249,0.2828355,0.0,0.11466296,0.02449405,1.02384116,3.85846631
2015-06,0.61554124,0.56567101,0.26063528,0.5733148,0.02449405,0.0,2.57231087
2015-07,0.61554124,0.2828355,0.52127057,0.22932592,0.0,0.0,0.0
2015-08,0.0,0.2828355,0.52127057,0.22932592,0.0,0.0,0.0
2015-09,0.0,0.0,0.0,0.34398888,0.0,0.0,0.0
2015-10,0.0,0.2828355,0.26063528,0.0,0.0,0.0,0.0
2015-11,0.92331187,0.2828355,0.26063528,0.11466296,0.07348215,0.0,0.0
2015-12,0.61554124,1.13134202,0.52127057,0.0,0.02449405,0.25596029,2.57231087
2016-01,0.0,0.0,0.0,0.0,0.02425791,0.25025306,2.56538525
2016-02,0.3085377,0.55754412,1.0522428,1.14283598,0.12128957,0.0,0.0
2016-03,1.8512262,2.23017651,1.5783642,0.91426878,0.12128957,1.25126534,7.69615577
2016-04,1.8512262,2.50894858,1.5783642,1.59997037,0.21832123,1.75177147,6.41346314
2016-05,2.4683016,0.83631619,0.7891821,1.71425397,0.31535289,1.00101227,2.56538525
2016-06,2.4683016,2.23017651,5.26121401,2.28567196,0.26683706,1.50151841,3.84807788
2016-07,2.4683016,4.46035303,8.41794242,3.77135874,0.72773745,1.50151841,8.97884839
2016-08,2.1597639,4.7391251,6.83957821,3.42850795,0.50941621,1.50151841,1.28269262
2016-09,2.1597639,1.39386032,1.5783642,0.57141799,0.09703166,0.50050613,0.0
2016-10,0.6170754,1.67263238,2.3675463,1.25711958,0.09703166,0.50050613,3.84807788
2016-11,0.6170754,0.27877206,0.7891821,0.34285079,0.04851583,0.7507592,0.0
2016-12,0.0,0.0,0.0,0.11428359,0.0,0.0,0.0
2017-01,0.31107063,0.81538844,1.06906622,0.22839351,0.0,0.0,0.0
2017-02,0.0,0.0,0.0,0.0,0.0,0.0,1.29395232
2017-03,0.93321189,0.27179614,0.0,0.11419675,0.04807284,0.24537149,0.0
2017-04,1.86642378,0.27179614,0.26726655,0.34259027,0.09614568,0.24537149,1.29395232
2017-05,1.24428252,1.08718459,1.60359933,1.25616434,0.14421852,0.24537149,2.58790465
2017-06,1.55535315,0.81538844,0.0,0.45678703,0.16825494,0.73611448,3.88185697
2017-07,0.0,2.17436918,0.0,0.34259027,0.14421852,0.73611448,2.58790465
2017-08,0.31107063,0.81538844,0.26726655,0.57098379,0.02403642,0.24537149,0.0
2017-09,0.62214126,0.27179614,0.80179966,0.45678703,0.07210926,0.98148598,1.29395232
2017-10,1.86642378,1.35898074,0.53453311,0.0,0.02403642,1.96297196,0.0
2017-11,5.28820071,1.63077689,0.80179966,0.45678703,0.16825494,2.20834346,24.58509418
2017-12,3.73284756,0.27179614,1.33633277,0.91357406,0.14421852,0.49074299,15.5274279
2018-01,3.77320165,1.05383489,1.90276749,1.2586721,0.26200578,0.96919557,7.8081181
2018-02,3.45876818,1.31729361,3.26188713,2.28849474,0.35728061,2.42298893,10.41082413
2018-03,6.91753636,3.42496339,5.16465462,3.31831737,0.97656701,3.14988561,16.91758921
2018-04,6.60310289,3.68842212,8.15471783,5.2635379,1.21475408,3.63448339,32.53382541
2018-05,8.48970371,3.68842212,6.79559819,2.51734421,0.85747347,4.84597786,14.31488318
2018-06,4.40206859,0.52691744,1.90276749,2.40291947,0.80983605,3.14988561,11.71217715
2018-07,1.57216735,1.84421106,2.9900632,3.54716684,0.47637415,0.72689667,6.50676508
2018-08,2.20103429,1.31729361,2.71823927,1.37309684,0.28582449,1.69609225,1.30135301
2018-09,0.62886694,0.26345872,0.54364785,0.80097315,0.04763741,0.0,2.60270603
2018-10,1.25773388,0.79037616,0.27182392,0.0,0.09527483,1.45379335,3.90405905
2018-11,3.77320165,0.26345872,0.27182392,0.34327421,0.04763741,0.48459778,6.50676508
2018-12,2.51546776,0.0,0.0,0.11442473,0.0,0.24229889,1.30135301
2019-01,10.69073801,3.16150467,1.08729571,0.34327421,0.14291224,3.14988561,11.71217715
2019-02,6.28866942,0.0,1.35911963,1.83079579,0.30964319,1.69609225,24.72570731
2019-03,5.97423595,1.84421106,1.90276749,1.71637105,0.69074252,3.3921845,24.72570731
2019-04,7.5464033,2.10766978,1.63094356,1.94522053,0.78601735,3.63448339,20.82164826
2019-05,5.345369,4.21533956,5.16465462,2.86061842,0.80983605,2.66528782,9.10947111
2019-06,1.88660082,5.00571573,4.34918284,2.63176895,0.61928639,4.36138007,9.10947111
2019-07,2.82990123,2.3711285,3.26188713,1.83079579,0.6431051,2.42298893,5.20541206
2019-08,0.31443347,0.52691744,2.17459142,1.83079579,0.28582449,0.24229889,2.60270603
2019-09,0.94330041,0.52691744,0.27182392,0.91539789,0.28582449,0.48459778,1.30135301
2019-10,1.88660082,1.58075233,2.9900632,0.68654842,0.30964319,1.21149446,2.60270603
2019-11,0.31443347,1.84421106,0.81547178,0.11442473,0.07145612,0.0,0.0
2019-12,1.57216735,1.84421106,1.08729571,0.45769894,0.09527483,0.24229889,1.30135301
